date,county,state,fips,cases,deaths,new cases,new deaths
2020-03-07,District of Columbia,District of Columbia,11001.0,1,0,1,0
2020-03-08,District of Columbia,District of Columbia,11001.0,1,0,0,0
2020-03-09,District of Columbia,District of Columbia,11001.0,4,0,3,0
2020-03-10,District of Columbia,District of Columbia,11001.0,4,0,0,0
2020-03-11,District of Columbia,District of Columbia,11001.0,10,0,6,0
2020-03-12,District of Columbia,District of Columbia,11001.0,10,0,0,0
2020-03-13,District of Columbia,District of Columbia,11001.0,10,0,0,0
2020-03-14,District of Columbia,District of Columbia,11001.0,16,0,6,0
2020-03-15,District of Columbia,District of Columbia,11001.0,17,0,1,0
2020-03-16,District of Columbia,District of Columbia,11001.0,22,0,5,0
2020-03-17,District of Columbia,District of Columbia,11001.0,31,0,9,0
2020-03-18,District of Columbia,District of Columbia,11001.0,36,0,5,0
2020-03-19,District of Columbia,District of Columbia,11001.0,39,0,3,0
2020-03-20,District of Columbia,District of Columbia,11001.0,71,0,32,0
2020-03-21,District of Columbia,District of Columbia,11001.0,77,1,6,1
2020-03-22,District of Columbia,District of Columbia,11001.0,98,1,21,0
2020-03-23,District of Columbia,District of Columbia,11001.0,116,2,18,1
2020-03-24,District of Columbia,District of Columbia,11001.0,137,2,21,0
2020-03-25,District of Columbia,District of Columbia,11001.0,183,2,46,0
2020-03-26,District of Columbia,District of Columbia,11001.0,231,3,48,1
2020-03-27,District of Columbia,District of Columbia,11001.0,267,3,36,0
2020-03-28,District of Columbia,District of Columbia,11001.0,304,4,37,1
2020-03-29,District of Columbia,District of Columbia,11001.0,342,5,38,1
2020-03-30,District of Columbia,District of Columbia,11001.0,401,9,59,4
2020-03-31,District of Columbia,District of Columbia,11001.0,495,9,94,0
2020-04-01,District of Columbia,District of Columbia,11001.0,586,11,91,2
2020-04-02,District of Columbia,District of Columbia,11001.0,653,12,67,1
2020-04-03,District of Columbia,District of Columbia,11001.0,757,15,104,3
2020-04-04,District of Columbia,District of Columbia,11001.0,902,21,145,6
2020-04-05,District of Columbia,District of Columbia,11001.0,998,22,96,1
2020-04-06,District of Columbia,District of Columbia,11001.0,1097,24,99,2
2020-04-07,District of Columbia,District of Columbia,11001.0,1211,24,114,0
2020-04-08,District of Columbia,District of Columbia,11001.0,1440,27,229,3
2020-04-09,District of Columbia,District of Columbia,11001.0,1523,32,83,5
2020-04-10,District of Columbia,District of Columbia,11001.0,1660,38,137,6
2020-04-11,District of Columbia,District of Columbia,11001.0,1778,47,118,9
2020-04-12,District of Columbia,District of Columbia,11001.0,1875,50,97,3
2020-04-13,District of Columbia,District of Columbia,11001.0,1955,52,80,2
2020-04-14,District of Columbia,District of Columbia,11001.0,2058,67,103,15
2020-04-15,District of Columbia,District of Columbia,11001.0,2197,72,139,5
2020-04-16,District of Columbia,District of Columbia,11001.0,2350,81,153,9
2020-04-17,District of Columbia,District of Columbia,11001.0,2476,86,126,5
2020-04-18,District of Columbia,District of Columbia,11001.0,2666,91,190,5
2020-04-19,District of Columbia,District of Columbia,11001.0,2793,96,127,5
2020-04-20,District of Columbia,District of Columbia,11001.0,2927,105,134,9
2020-04-21,District of Columbia,District of Columbia,11001.0,3098,112,171,7
2020-04-22,District of Columbia,District of Columbia,11001.0,3206,127,108,15
2020-04-23,District of Columbia,District of Columbia,11001.0,3361,139,155,12
